Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Log Work,Work Ratio,Security Level,Outward issue link (Cause),Inward issue link (Dependency),Outward issue link (Dependency),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relation),Inward issue link (Relation),Inward issue link (Relation),Outward issue link (Relation),Outward issue link (Relation),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Fix URL),Custom field (Flagged),Custom field (GitHub Pull Request URL),Custom field (Labels),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Sprint,Custom field (Story Points),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Custom field (phpBB Import Key),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Extension Catalog Installs Incompatible Extensions,PHPBB-17561,39989,,Improvement,Patch Awaiting Review,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Blocker,,,MattF,MattF,29/Sep/25 9:41 PM,30/Sep/25 8:55 PM,08/Nov/25 11:11 AM,,4.0.0-a2,4.0.0-b1,,,,,Extensions,,,,,,0,,,,,,,,"*Summary*

The Extension Catalog currently installs and recommends extensions that are not compatible with phpBB 4. This can result in fatal PHP errors, leaving users with no viable way to recover other than restoring from backups.

*Details*

For example, the catalog recommends the *About Us* extension, version *2.0.4,* a release from 2015 built for phpBB 3.1.3. This version appears because it does not define maximum version constraints for PHP or phpBB. Later releases of the extension do include maximum constraints, flagging them as incompatible with phpBB 4. Since no phpBB 4-compatible release exists in the CDB or Packagist, the catalog defaults to showing this outdated version.

As a result, the catalog currently lists many “stable” extensions that are *not safe to install* on phpBB 4. In practice, there should be zero stable extensions shown at this stage. This creates a high risk for users and could cause widespread breakage.

*Proposed Solution*

Introduce a new Composer parameter in the extra section of composer.json that explicitly marks phpBB 4-compatible extensions as eligible for the catalog. For example:
{code:java}""extra"": {
  ""display-name"": ""About us"",
  ""soft-require"": {
    ""phpbb/phpbb"": "">=4.0.0-a1,<4.1.0@dev""
  },
  ""ext-catalog"": true # Only set true if extension is phpBB4 compatible
}{code} * ext-catalog: true should only be set for extensions verified as phpBB 4 compatible.
 * The Extension Catalog would then filter out all extensions that do not include this flag.

Without a safeguard like this, the Extension Catalog risks recommending and installing extensions that are guaranteed to break phpBB 4 installations.",,,,,,,,,,,,,,,,,"29/Sep/25 9:41 PM;MattF;Untitled.png;https://tracker.phpbb.com/secure/attachment/23420/Untitled.png",,,,,,,,,,,,,,,,,"0|i03qbz:",,,,,,,,,,,,,,"30/Sep/25 8:54 PM;MattF;Thinking about this more, I realized a better option is to just check if an extension requires composer/installers and make sure the version constraint includes 2.0 or higher. That way, ext devs don’t have to do anything extra beyond what they already need for phpBB 4 and the catalog.

This means we’ll filter out extensions that either don’t require composer/installers at all or only allow 1.x, and the catalog will only show extensions that can actually be installed through it.

I’ve updated my PR to go in this new direction.;;;",,,,,,,,,,,,,,,,,,,,,
Add support for automatic updates to ACP frontend,PHPBB-17469,39602,,Improvement,Patch Awaiting Review,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Blocker,,CHItA,Marc,Marc,13/Feb/25 8:05 PM,27/Sep/25 4:00 PM,08/Nov/25 11:12 AM,,,,,,,4.0.0-a2,,,,,,,0,,,,,,,,"After the implementation of PHPBB-15851, the frontend also needs to be adjusted to properly interact with the backend for handling a complete automatic update via the ACP.",,,,,,,,PHPBB-15851,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03pqn:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a 500 error happens it looks like we nowhere log the error,PHPBB-17550,39886,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Blocker,,,Paul,Paul,26/Sep/25 10:19 AM,26/Sep/25 10:19 AM,08/Nov/25 11:08 AM,,4.0.0-a1,,,,,,,,,,,,0,,,,,,,,"Currently, when a 500 error happens, we only tell the user that it happened, however we nowhere log the actual error to figure out what is happening.

 
h1.  
{code:java}
Oops! An Error Occurred The server returned a ""500 Internal Server Error"".
Something is broken. Please let us know what you were doing when this error occurred. We will fix it as soon as possible. Sorry for any inconvenience caused.
{code}
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03q9j:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rework merge smiles into emojis as customs emojis using a new emoji panel,PHPBB-17014,38196,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Blocker,,,Hanakin,Hanakin,19/Jun/22 8:02 PM,21/Jul/25 7:05 PM,08/Nov/25 11:12 AM,,4.0.0-a1,,,,,4.1.0-a1,ACP,JavaScript / AJAX,Other,Styles,Viewing posts,,0,4.0,Chameleon,,,,,,"remove smiles and replace them with an emoji panel. Add a custom emoji section to the panel. Reworking the new custom emojis to be rendered using the twig icon function. We will need a way to build and display an emoji panel. I will need to be performant so will have to look into how to handle that. We will need to build it ourselves to do this. It's not as easy as just loading all the emojis from iconify as that is very intense load even just as different sections. We could possibly load based on view and just load-unload a row at a time maybe? will need to test for the best way. 

here is an example codepen I put together  https://codepen.io/hanakin/pen/ErBPLL

here is a debug view of it for testing load speeds https://cdpn.io/pen/debug/ErBPLL?authentication_hash=dGkXWNpbabvA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03btx:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create global template variable arrays for UCP & MCP links ,PHPBB-17015,38197,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Blocker,,,Hanakin,Hanakin,19/Jun/22 8:12 PM,21/Jul/25 7:05 PM,08/Nov/25 11:12 AM,,4.0.0-a1,,,,,4.1.0-a1,Moderator Control Panel (MCP),User Control Panel (UCP),,,,,0,4.0,Chameleon,,,,,,"We need template variables for links to each of the main tabs for the UCP and MCP to include any extended pages.

These need to be accessible to the index to be loaded as global navigation links across the entire app.

For now, we may only need the main pages, reference the attached screen grab, and not the sub-pages that are found down the left-hand side, but we may want o to consider the what-if down the road and just get them all?",,,,,,,,,,,,,,,,,"19/Jun/22 8:08 PM;Hanakin;Capture.PNG;https://tracker.phpbb.com/secure/attachment/21824/Capture.PNG",,,,,,,,,,,,,,,,,"0|i03bty:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relocate the contents of the assets folder to the all folder,PHPBB-17016,38198,,Improvement,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Blocker,,,Hanakin,Hanakin,21/Jun/22 8:33 PM,21/Jul/25 7:05 PM,08/Nov/25 11:12 AM,,4.0.0-a1,,,,,4.1.0-a1,ACP,Styles,Template Engine,,,,0,4.0,Chameleon,,,,,,"currently there are several css, js, and fonts located in the phpbb/phpBB/assets folder. These all need moved to the phpbb/phpBB/styles/all folder. This is required not only for chameleon and the restructure of the template system but is also needed for sanity to house all of our css and js in one unified location instead of spider all over the place. Eventually the styles and ACP should all pull the js/imgs/external css/etc... from this one central location.

so a rundown of the changes required

phpbb/phpBB/assets/css -> phpbb/phpBB/styles/all/css

phpbb/phpBB/assets/javascript-> phpbb/phpBB/styles/all/js

phpbb/phpBB/assets/pupload/plupload.full.min.js-> phpbb/phpBB/styles/all/js/plupload.full.min.js

phpbb/phpBB/assets/cookieconsent/cookieconsent.min.css-> phpbb/phpBB/styles/all/css
phpbb/phpBB/assets/cookieconsent/cookieconsent.min.js-> phpbb/phpBB/styles/all/js

also should go without saying but will need to rework all links to these in the template files and the template variables that point to them.

we can probably simplify everything into a single template variable of template_asset possibly? As the only thing that would change is an industry standard folder for each type of asset",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03mqv:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto generate avatars for users without them,PHPBB-17018,38200,,New Feature,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Blocker,,,Hanakin,Hanakin,23/Jun/22 6:43 PM,21/Jul/25 7:04 PM,08/Nov/25 11:12 AM,,4.0.0-a1,,,,,4.1.0-a1,Template Engine,,,,,,0,4.0,Chameleon,,,,,,"Going forward avatars will be required and there will no longer be an option to disable them. It should also be able to backfill all current users without an avatar.

This is because they are a useful tool for handling responsive display of interactions with users. Its also a standard for all social apps these days. Not to mention it causes layout issues if we do not standardize everything related to avatars.

As such we need to include something to accommodate anyone who does not have or want an avatar during registration. Something similar to GitHub where its a graphical identity icon representation of their username.

something like

https://github.com/splitbrain/php-ringicon (my personal preference)

or this

https://github.com/rmhdev/identicon

where it can generate an svg avatar that can be stored in the database to load if they do not have a custom one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03mrb:",,,,,,,,,,,,,,"25/Jun/22 10:32 AM;david63;I am not arguing the case as to whether there should or should not be an avatar for all users as that decision appears to have already been made but personally I do not like either of the two samples above and would much prefer the type of avatar that uses the first initial, perhaps as an Admin option.

 

There also needs to be, in my opinion, from a board management perspective, the ability to highlight new users, and in-particular members of the NRU group with the generated avatar.

 

I do not believe that storing these generated avatars in the database is a good idea as all that will do is clutter up the database with unnecessary data (a large majority of these ""generated avatars"" will relate to members who sign up and do not visit the board again). These should be generated ""on the fly""

 

Totally disabling the ability to disable avatars is a pointless exercise because it will not take long for somebody to create an extension to do it.;;;","05/Jul/22 10:29 AM;rubencm;It should be better identicon, since the other library require gd;;;",,,,,,,,,,,,,,,,,,,,
Some constants don't work from controllers,PHPBB-15812,35504,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Blocker,,,rubencm,rubencm,28/Sep/18 3:03 PM,01/Oct/18 3:16 PM,08/Nov/25 11:12 AM,,,,,,,,,,,,,,1,,,,,,,,"Some constants like SKIP_CHECK_BAN and SKIP_CHECK_DISABLED don't work from controllers, because the check is done when the session starts, which is before the controller is loaded.",,,,,,,,PHPBB-9616,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03ekn:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is not possible to start a session without update session page from controllers,PHPBB-15804,35494,,Bug,Open,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Blocker,,,rubencm,rubencm,23/Sep/18 11:39 PM,24/Sep/18 1:21 AM,08/Nov/25 11:12 AM,,4.0.0-a1,,,,,,Sessions,,,,,,0,,,,,,,,"Currently, app.php start the session management, so the session page is updated.

This is a problem for download controllers, because there is no way to don't update session page when executing those controllers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03eif:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHP warning on viewing a topic page with avatars as bot,PHPBB-17581,40181,,Bug,Patch Awaiting Review,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,rxu,rxu,04/Nov/25 4:14 AM,04/Nov/25 4:33 AM,08/Nov/25 11:12 AM,,4.0.0-a1,,,,,,Styles,Viewing posts,,,,,0,,,,,,,,"When viewing a topic page with avatars as bot and there're avatars. PHP warning is being thrown:

 
{noformat}[phpBB Debug] PHP Warning: in file [ROOT]/vendor/twig/twig/src/Template.php on line 345: Array to string conversion
Array{noformat}
No further details in webserver's error log.

 

Report: https://www.phpbb.com/community/viewtopic.php?t=2666524

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03qgn:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downloading files with a byte range of 8192 bytes causes fatal error,PHPBB-17580,40180,,Bug,Patch Awaiting Review,PHPBB,phpBB,software,Marc,phpBB,https://www.phpbb.com/,Major,,,NeoDev,NeoDev,03/Nov/25 9:53 PM,03/Nov/25 10:27 PM,08/Nov/25 11:12 AM,,3.3.15,,,,,,,,,,,,0,,,,,,,,"Partial downloads of a file from phpBB, such as an attachment, using content ranges of 8192 bytes or a multiple thereof causes a fatal error in php. This can be reproduced using curl and the --range option.
{code:java}
// Fetch the first 8192 bytes of a file
curl --range 0-8191 https://example.com/phpBB/download/file.php?id=1234{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i03qgf:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
